,infindex,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
UPDRS_1,0.0,0.071,0.381,-0.524,0.167,-0.238,0.595,0.119
UPDRS_2,0.275,-0.132,0.395,0.731,-0.575,0.323,-0.299,0.06
UPDRS_3,0.347,0.18,0.611,0.515,-0.096,0.168,0.096,0.144
UPDRS_4,-0.444,-0.304,0.279,-0.254,-0.19,-0.862,0.127,0.609
UPDRS_SUM,0.119,-0.119,0.69,0.357,-0.262,-0.333,0.048,0.476
