,infindex,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
UPDRS_1,0.284,0.983,0.318,0.683,0.431,0.185,0.391,0.898
UPDRS_2,0.444,0.486,0.864,0.683,0.472,0.306,0.574,0.472
UPDRS_3,0.486,0.559,0.041,0.145,0.949,0.529,0.667,0.635
UPDRS_4,0.113,0.391,0.665,0.175,0.879,0.013,0.504,0.042
UPDRS_SUM,0.16,0.949,0.458,0.5,0.932,0.152,0.404,0.472
