,infindex,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
UPDRS_1,1.0,0.867,0.352,0.183,0.693,0.57,0.12,0.779
UPDRS_2,0.509,0.756,0.333,0.04,0.136,0.435,0.471,0.888
UPDRS_3,0.399,0.67,0.108,0.192,0.821,0.691,0.821,0.734
UPDRS_4,0.271,0.464,0.503,0.544,0.652,0.006,0.765,0.109
UPDRS_SUM,0.779,0.779,0.058,0.385,0.531,0.42,0.911,0.233
