,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,0.0,0.739,0.917,0.776,0.267,0.28,0.165
IL-8,0.739,0.0,0.749,0.089,0.155,0.519,0.754
TNF-alpha,0.917,0.749,0.0,0.858,0.911,0.8,0.162
CRP,0.776,0.089,0.858,0.0,0.99,0.396,0.629
IFN-gamma,0.267,0.155,0.911,0.99,0.0,0.862,0.93
FGF-21,0.28,0.519,0.8,0.396,0.862,0.0,0.814
GDF-15,0.165,0.754,0.162,0.629,0.93,0.814,0.0
