,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,1.0,-0.11,0.282,0.154,-0.56,0.233,-0.094
IL-8,-0.11,1.0,0.269,0.352,0.402,-0.025,0.371
TNF-alpha,0.282,0.269,1.0,0.441,0.41,0.432,0.408
CRP,0.154,0.352,0.441,1.0,0.633,0.62,0.186
IFN-gamma,-0.56,0.402,0.41,0.633,1.0,0.364,0.26
FGF-21,0.233,-0.025,0.432,0.62,0.364,1.0,-0.181
GDF-15,-0.094,0.371,0.408,0.186,0.26,-0.181,1.0
