,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,1.0,-0.071,0.286,-0.143,-0.214,-0.214,-0.286
IL-8,-0.071,1.0,0.357,0.5,0.429,0.143,0.214
TNF-alpha,0.286,0.357,1.0,0.429,-0.214,-0.071,0.429
CRP,-0.143,0.5,0.429,1.0,0.071,0.357,0.714
IFN-gamma,-0.214,0.429,-0.214,0.071,1.0,0.0,-0.071
FGF-21,-0.214,0.143,-0.071,0.357,0.0,1.0,0.214
GDF-15,-0.286,0.214,0.429,0.714,-0.071,0.214,1.0
