,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,0.0,1.0,0.275,0.548,0.72,0.179,0.399
IL-8,1.0,0.0,0.275,0.031,1.0,0.72,0.179
TNF-alpha,0.275,0.275,0.0,0.72,0.905,0.905,0.275
CRP,0.548,0.031,0.72,0.0,0.548,0.275,0.548
IFN-gamma,0.72,1.0,0.905,0.548,0.0,0.72,0.399
FGF-21,0.179,0.72,0.905,0.275,0.72,0.0,0.72
GDF-15,0.399,0.179,0.275,0.548,0.399,0.72,0.0
