,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,1.0,-0.13,0.041,-0.111,-0.415,-0.405,-0.506
IL-8,-0.13,1.0,0.125,0.598,0.516,-0.249,-0.122
TNF-alpha,0.041,0.125,1.0,0.07,-0.044,-0.099,0.508
CRP,-0.111,0.598,0.07,1.0,0.005,0.323,-0.187
IFN-gamma,-0.415,0.516,-0.044,0.005,1.0,0.068,-0.034
FGF-21,-0.405,-0.249,-0.099,0.323,0.068,1.0,-0.092
GDF-15,-0.506,-0.122,0.508,-0.187,-0.034,-0.092,1.0
