,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,1.0,0.0,0.333,0.167,-0.222,0.056,0.0
IL-8,0.0,1.0,0.444,0.5,0.556,0.5,0.333
TNF-alpha,0.333,0.444,1.0,0.5,0.444,0.167,0.222
CRP,0.167,0.5,0.5,1.0,0.611,0.222,0.278
IFN-gamma,-0.222,0.556,0.444,0.611,1.0,0.5,0.111
FGF-21,0.056,0.5,0.167,0.222,0.5,1.0,-0.056
GDF-15,0.0,0.333,0.222,0.278,0.111,-0.056,1.0
