,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,0.0,0.413,0.578,0.352,0.781,0.538,0.195
IL-8,0.413,0.0,0.543,0.053,0.324,0.952,0.418
TNF-alpha,0.578,0.543,0.0,0.108,0.598,0.779,0.207
CRP,0.352,0.053,0.108,0.0,0.821,0.337,0.013
IFN-gamma,0.781,0.324,0.598,0.821,0.0,0.872,0.367
FGF-21,0.538,0.952,0.779,0.337,0.872,0.0,0.657
GDF-15,0.195,0.418,0.207,0.013,0.367,0.657,0.0
