,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,1.0,0.056,-0.111,0.056,0.056,-0.333,-0.278
IL-8,0.056,1.0,0.056,0.222,0.333,-0.167,-0.111
TNF-alpha,-0.111,0.056,1.0,0.167,-0.167,0.0,0.5
CRP,0.056,0.222,0.167,1.0,-0.111,0.167,0.0
IFN-gamma,0.056,0.333,-0.167,-0.111,1.0,0.056,-0.111
FGF-21,-0.333,-0.167,0.0,0.167,0.056,1.0,-0.056
GDF-15,-0.278,-0.111,0.5,0.0,-0.111,-0.056,1.0
