,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,1.0,-0.237,0.097,-0.41,-0.207,-0.539,-0.486
IL-8,-0.237,1.0,0.379,0.573,0.116,0.063,0.596
TNF-alpha,0.097,0.379,1.0,0.046,0.228,-0.016,0.411
CRP,-0.41,0.573,0.046,1.0,0.152,0.707,0.237
IFN-gamma,-0.207,0.116,0.228,0.152,1.0,-0.004,-0.309
FGF-21,-0.539,0.063,-0.016,0.707,-0.004,1.0,0.329
GDF-15,-0.486,0.596,0.411,0.237,-0.309,0.329,1.0
