,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,0.0,1.0,0.26,0.612,0.477,0.919,1.0
IL-8,1.0,0.0,0.119,0.075,0.045,0.075,0.26
TNF-alpha,0.26,0.119,0.0,0.075,0.119,0.612,0.477
CRP,0.612,0.075,0.075,0.0,0.025,0.477,0.358
IFN-gamma,0.477,0.045,0.119,0.025,0.0,0.075,0.761
FGF-21,0.919,0.075,0.612,0.477,0.075,0.0,0.919
GDF-15,1.0,0.26,0.477,0.358,0.761,0.919,0.0
