,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,0.0,0.779,0.462,0.693,0.117,0.547,0.81
IL-8,0.779,0.0,0.484,0.352,0.283,0.948,0.325
TNF-alpha,0.462,0.484,0.0,0.235,0.273,0.246,0.275
CRP,0.693,0.352,0.235,0.0,0.067,0.075,0.632
IFN-gamma,0.117,0.283,0.273,0.067,0.0,0.335,0.499
FGF-21,0.547,0.948,0.246,0.075,0.335,0.0,0.641
GDF-15,0.81,0.325,0.275,0.632,0.499,0.641,0.0
