measure,tp,smd,smd_ci_low,smd_ci_high,est,se,ci_low,ci_high,p,p_sig,p_adj,p_adj_sig
FGF-21,A1,0.41,-0.39,1.21,0.315,0.304,-0.281,0.91,0.3,,0.36,
FGF-21,B1,0.44,-0.37,1.25,0.431,0.243,-0.045,0.907,0.076,,0.152,
FGF-21,B30,-0.03,-0.8,0.74,-0.025,0.337,-0.685,0.635,0.941,,0.941,
GDF-15,A1,-0.65,-1.5,0.2,-0.191,0.077,-0.341,-0.04,0.013,*,0.048,*
GDF-15,B1,-0.54,-1.36,0.28,-0.15,0.062,-0.273,-0.028,0.016,*,0.048,*
GDF-15,B30,-0.26,-1.04,0.52,-0.067,0.054,-0.173,0.04,0.22,,0.33,
