,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,1.0,-0.048,0.452,-0.262,-0.143,-0.286,-0.333
IL-8,-0.048,1.0,0.429,0.714,0.524,0.119,0.286
TNF-alpha,0.452,0.429,1.0,0.571,-0.31,-0.119,0.571
CRP,-0.262,0.714,0.571,1.0,0.119,0.381,0.857
IFN-gamma,-0.143,0.524,-0.31,0.119,1.0,-0.095,-0.238
FGF-21,-0.286,0.119,-0.119,0.381,-0.095,1.0,0.286
GDF-15,-0.333,0.286,0.571,0.857,-0.238,0.286,1.0
