,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,0.0,0.898,0.966,0.966,0.765,0.224,0.17
IL-8,0.898,0.0,0.732,0.406,0.17,0.516,0.606
TNF-alpha,0.966,0.732,0.0,0.381,0.637,1.0,0.067
CRP,0.966,0.406,0.381,0.0,0.637,0.637,0.932
IFN-gamma,0.765,0.17,0.637,0.637,0.0,0.798,0.576
FGF-21,0.224,0.516,1.0,0.637,0.798,0.0,0.898
GDF-15,0.17,0.606,0.067,0.932,0.576,0.898,0.0
