,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,1.0,0.05,-0.017,0.017,-0.117,-0.45,-0.5
IL-8,0.05,1.0,0.133,0.317,0.5,-0.25,-0.2
TNF-alpha,-0.017,0.133,1.0,0.333,-0.183,0.0,0.633
CRP,0.017,0.317,0.333,1.0,-0.183,0.183,0.033
IFN-gamma,-0.117,0.5,-0.183,-0.183,1.0,0.1,-0.217
FGF-21,-0.45,-0.25,0.0,0.183,0.1,1.0,-0.05
GDF-15,-0.5,-0.2,0.633,0.033,-0.217,-0.05,1.0
