,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,0.0,0.911,0.26,0.531,0.736,0.493,0.42
IL-8,0.911,0.0,0.289,0.047,0.183,0.779,0.493
TNF-alpha,0.26,0.289,0.0,0.139,0.456,0.779,0.139
CRP,0.531,0.047,0.139,0.0,0.779,0.352,0.007
IFN-gamma,0.736,0.183,0.456,0.779,0.0,0.823,0.57
FGF-21,0.493,0.779,0.779,0.352,0.823,0.0,0.493
GDF-15,0.42,0.493,0.139,0.007,0.57,0.493,0.0
