,infindex,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
HAMA,0.108,0.036,0.503,-0.108,0.647,-0.144,0.659,0.132
MADRS,0.084,0.371,0.012,-0.132,0.79,0.359,0.287,-0.18
UPDRS_1,0.086,-0.282,0.491,0.209,-0.049,-0.27,0.331,0.356
UPDRS_2,-0.233,-0.307,-0.54,-0.061,-0.847,-0.147,-0.196,-0.233
UPDRS_3,0.482,0.458,0.036,0.325,0.349,0.482,-0.313,0.241
UPDRS_4,0.0,-0.474,0.316,0.158,-0.632,-0.474,-0.632,0.632
UPDRS_SUM,0.901,0.523,0.198,0.667,0.0,0.505,-0.108,0.054
