,infindex,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
HAMA,-0.176,0.076,-0.311,-0.067,-0.151,0.143,0.571,-0.37
MADRS,-0.468,0.145,-0.851,-0.46,-0.119,-0.323,0.051,0.332
UPDRS_1,-0.402,-0.008,0.377,0.159,0.301,-0.485,0.326,0.05
UPDRS_2,-0.293,-0.268,-0.067,-0.159,-0.276,-0.385,0.218,0.276
UPDRS_3,-0.268,0.226,-0.686,-0.527,0.025,-0.243,0.167,0.184
UPDRS_4,-0.564,-0.327,0.168,-0.495,-0.059,-0.782,-0.257,0.683
UPDRS_SUM,-0.51,0.025,-0.285,-0.259,-0.033,-0.519,0.318,0.276
