measure,tp,did_converge,est,se,ci_low,ci_high,p,p_sig,p_adj,p_adj_sig
FGF-21,A1,True,0.455,0.45,-0.426,1.336,0.312,,0.401,
FGF-21,B1,True,0.661,0.351,-0.027,1.35,0.06,,0.108,
FGF-21,B30,True,-0.08,0.5,-1.059,0.9,0.873,,0.873,
GDF-15,A1,True,-2.011,0.78,-3.54,-0.483,0.01,*,0.039,*
GDF-15,B1,True,-1.623,0.654,-2.905,-0.341,0.013,*,0.039,*
GDF-15,B30,True,-0.703,0.62,-1.919,0.513,0.257,,0.386,
mitoindex,A1,True,0.517,0.26,0.007,1.027,0.047,*,0.106,
mitoindex,B1,True,0.527,0.199,0.137,0.918,0.008,**,0.039,*
mitoindex,B30,True,0.087,0.273,-0.448,0.621,0.751,,0.845,
