measure,tp,did_converge,est,se,ci_low,ci_high,p,p_sig,p_adj,p_adj_sig
FGF-21,A1,True,0.315,0.304,-0.281,0.91,0.3,,0.386,
FGF-21,B1,True,0.431,0.243,-0.045,0.907,0.076,,0.137,
FGF-21,B30,True,-0.025,0.337,-0.685,0.635,0.941,,0.941,
GDF-15,A1,True,-0.191,0.077,-0.341,-0.04,0.013,*,0.048,*
GDF-15,B1,True,-0.15,0.062,-0.273,-0.028,0.016,*,0.048,*
GDF-15,B30,True,-0.067,0.054,-0.173,0.04,0.22,,0.33,
mitoindex,A1,True,0.546,0.283,-0.008,1.1,0.053,,0.119,
mitoindex,B1,True,0.54,0.219,0.11,0.969,0.014,*,0.048,*
mitoindex,B30,True,0.108,0.285,-0.451,0.666,0.705,,0.793,
