measure,tp,smd,smd_ci_low,smd_ci_high,t,p_ttest,sig_ttest,p_ttest_adj,p_ttest_adj_sig,w,p_wilcoxon,sig_wilcoxon,p_wilcoxon_adj,p_wilcoxon_adj_sig
FGF-21,A1,0.41,-0.39,1.21,-1.248,0.252,,0.328,,12,0.461,,0.519,
FGF-21,B1,0.44,-0.37,1.25,-1.863,0.105,,0.189,,6,0.109,,0.197,
FGF-21,B30,-0.03,-0.8,0.74,0.075,0.942,,0.942,,14,0.359,,0.462,
GDF-15,A1,-0.65,-1.5,0.2,2.347,0.051,,0.154,,1,0.016,*,0.07,
GDF-15,B1,-0.54,-1.36,0.28,2.413,0.047,*,0.154,,4,0.055,,0.123,
GDF-15,B30,-0.26,-1.04,0.52,1.226,0.255,,0.328,,12,0.25,,0.375,
