measure,tp,did_converge,est,se,ci_low,ci_high,p,p_sig,p_adj,p_adj_sig
FGF-21,A1,True,0.501,0.362,-0.21,1.211,0.167,,0.251,
FGF-21,B1,True,0.629,0.288,0.064,1.194,0.029,*,0.058,
FGF-21,B30,True,-0.064,0.431,-0.909,0.782,0.882,,0.882,
GDF-15,A1,True,-3.105,1.113,-5.288,-0.923,0.005,**,0.015,*
GDF-15,B1,True,-2.658,0.941,-4.503,-0.813,0.005,**,0.015,*
GDF-15,B30,True,-1.126,0.956,-2.999,0.746,0.238,,0.286,
