,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,1.0,-0.338,0.233,-0.381,-0.118,-0.258,-0.511
IL-8,-0.338,1.0,0.255,0.701,0.402,0.026,0.335
TNF-alpha,0.233,0.255,1.0,0.611,-0.222,0.119,0.5
CRP,-0.381,0.701,0.611,1.0,-0.096,0.392,0.818
IFN-gamma,-0.118,0.402,-0.222,-0.096,1.0,-0.069,-0.37
FGF-21,-0.258,0.026,0.119,0.392,-0.069,1.0,0.188
GDF-15,-0.511,0.335,0.5,0.818,-0.37,0.188,1.0
