,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,1.0,0.048,0.452,-0.238,-0.119,-0.619,-0.381
IL-8,0.048,1.0,0.548,0.81,0.071,0.119,0.571
TNF-alpha,0.452,0.548,1.0,0.357,-0.048,-0.048,0.357
CRP,-0.238,0.81,0.357,1.0,0.214,0.357,0.333
IFN-gamma,-0.119,0.071,-0.048,0.214,1.0,0.19,-0.357
FGF-21,-0.619,0.119,-0.048,0.357,0.19,1.0,0.143
GDF-15,-0.381,0.571,0.357,0.333,-0.357,0.143,1.0
