,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,0.0,0.905,0.399,0.72,0.548,0.548,0.399
IL-8,0.905,0.0,0.275,0.109,0.179,0.72,0.548
TNF-alpha,0.399,0.275,0.0,0.179,0.548,0.905,0.179
CRP,0.72,0.109,0.179,0.0,0.905,0.275,0.014
IFN-gamma,0.548,0.179,0.548,0.905,0.0,1.0,0.905
FGF-21,0.548,0.72,0.905,0.275,1.0,0.0,0.548
GDF-15,0.399,0.548,0.179,0.014,0.905,0.548,0.0
