,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,1.0,0.017,0.483,0.233,-0.233,0.033,0.083
IL-8,0.017,1.0,0.583,0.733,0.75,0.483,0.417
TNF-alpha,0.483,0.583,1.0,0.617,0.483,0.317,0.467
CRP,0.233,0.733,0.617,1.0,0.733,0.45,0.317
IFN-gamma,-0.233,0.75,0.483,0.733,1.0,0.733,0.25
FGF-21,0.033,0.483,0.317,0.45,0.733,1.0,-0.167
GDF-15,0.083,0.417,0.467,0.317,0.25,-0.167,1.0
