,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,1.0,0.0,0.357,-0.214,-0.143,-0.429,-0.286
IL-8,0.0,1.0,0.357,0.643,0.0,0.143,0.429
TNF-alpha,0.357,0.357,1.0,0.143,-0.071,-0.071,0.357
CRP,-0.214,0.643,0.143,1.0,0.214,0.357,0.214
IFN-gamma,-0.143,0.0,-0.071,0.214,1.0,0.143,-0.286
FGF-21,-0.429,0.143,-0.071,0.357,0.143,1.0,0.143
GDF-15,-0.286,0.429,0.357,0.214,-0.286,0.143,1.0
