,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,0.0,0.911,0.26,0.57,0.779,0.102,0.352
IL-8,0.911,0.0,0.16,0.015,0.867,0.779,0.139
TNF-alpha,0.26,0.16,0.0,0.385,0.911,0.911,0.385
CRP,0.57,0.015,0.385,0.0,0.61,0.385,0.42
IFN-gamma,0.779,0.867,0.911,0.61,0.0,0.651,0.385
FGF-21,0.102,0.779,0.911,0.385,0.651,0.0,0.736
GDF-15,0.352,0.139,0.385,0.42,0.385,0.736,0.0
