,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,0.0,0.572,0.82,0.313,0.623,0.168,0.222
IL-8,0.572,0.0,0.354,0.137,0.784,0.882,0.119
TNF-alpha,0.82,0.354,0.0,0.914,0.587,0.97,0.312
CRP,0.313,0.137,0.914,0.0,0.719,0.05,0.572
IFN-gamma,0.623,0.784,0.587,0.719,0.0,0.993,0.456
FGF-21,0.168,0.882,0.97,0.05,0.993,0.0,0.427
GDF-15,0.222,0.119,0.312,0.572,0.456,0.427,0.0
