,IL-6,IL-8,TNF-alpha,CRP,IFN-gamma,FGF-21,GDF-15
IL-6,0.0,0.919,0.761,0.919,0.919,0.26,0.358
IL-8,0.919,0.0,0.919,0.477,0.26,0.612,0.761
TNF-alpha,0.761,0.919,0.0,0.612,0.612,1.0,0.075
CRP,0.919,0.477,0.612,0.0,0.761,0.612,1.0
IFN-gamma,0.919,0.26,0.612,0.761,0.0,0.919,0.761
FGF-21,0.26,0.612,1.0,0.612,0.919,0.0,0.919
GDF-15,0.358,0.761,0.075,1.0,0.761,0.919,0.0
